281,BMW X5,"2017 г., 3 л., автомат, внедорожник 5 дв., дизель, руль слева, 150 000 км",$ 49 500,https://im.mashina.kg/tachka/images//a/3/6/a36fb2df832fc46d06c6913b3f27e1a5_240x180.jpg
282,Toyota 4Runner,"2017 г., 4 л., автомат, внедорожник 5 дв., бензин, руль слева, 120 000 км",$ 37 500,https://im.mashina.kg/tachka/images//6/f/3/6f3d18909acce96e97b39456bd181437_240x180.jpg
283,Mercedes-Benz C-Класс,"2004 г., 1.8 л., автомат, седан, бензин, руль слева, 125 000 км",$ 9 500,https://im.mashina.kg/tachka/images//1/b/d/1bd151e65b0e06512c802b42860a66a7_240x180.jpg
284,BMW X7,"2019 г., 4.4 л., автомат, внедорожник 5 дв., бензин, руль слева, 53 000 км",$ 103 000,https://im.mashina.kg/tachka/images//b/7/c/b7c86b439d161d52f5b981eed6222289_240x180.jpg
285,Kia Rio,"2020 г., 1.6 л., автомат, седан, бензин, руль слева, 50 000 км",$ 16 900,https://im.mashina.kg/tachka/images//2/a/c/2ac6a20003f9bf03c56e63d0e447024c_240x180.jpg
286,Toyota Camry,"2023 г., 2.5 л., автомат, седан, бензин, руль слева   новый",$ 46 500,https://im.mashina.kg/tachka/images//a/0/9/a09b1e1fc37b715c3a2431a225affdc5_240x180.jpg
287,BMW X7,"2020 г., 3 л., автомат, внедорожник 5 дв., бензин, руль слева, 68 000 км",$ 120 000,https://im.mashina.kg/tachka/images//c/3/c/c3c1eab5a0ed8a4848ac4c2e55921889_240x180.jpg
288,Honda Accord,"2000 г., 1.8 л., механика, седан, бензин, руль слева, 300 000 км",$ 4 324,https://im.mashina.kg/tachka/images//8/6/f/86fcdb1a5bf0863066db01c2b44a4fed_240x180.jpg
289,Land Rover Range Rover Evoque,"2012 г., 2 л., автомат, внедорожник 5 дв., бензин, руль слева, 11 200 км",$ 20 000,https://im.mashina.kg/tachka/images//5/0/2/502557630f86bb998a9be02ddb4ca50a_240x180.jpg
290,Lexus RX,"2020 г., 3.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 40 000 км",$ 68 000,https://im.mashina.kg/tachka/images//3/4/6/34641fa63446319343cafcde6a7597ac_240x180.jpg
291,BMW 3 серии,"2014 г., 2 л., автомат, седан, бензин, руль слева, 138 000 км",$ 16 900,https://im.mashina.kg/tachka/images//7/f/8/7f8b93ec41d9dca6336f59ce2292c90d_240x180.jpg
292,Toyota Camry,"2018 г., 2.5 л., автомат, седан, бензин, руль слева, 35 000 км",$ 27 000,https://im.mashina.kg/tachka/images//7/d/5/7d50640cf6d92cd004d15e41f7c8f503_240x180.jpg
293,Lexus RX,"2017 г., 3.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 66 500 км",$ 52 500,https://im.mashina.kg/tachka/images//5/e/7/5e726037eef98503ba86c6cb49909f3f_240x180.jpg
294,Kia Carnival,"2020 г., 2.2 л., автомат, минивэн, дизель, руль слева, 9 600 км",$ 44 900,https://im.mashina.kg/tachka/images//c/a/0/ca0b8f6a1858080738a8a473123a613c_240x180.jpg
295,Lexus RX,"2017 г., 3.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 96 000 км",$ 44 000,https://im.mashina.kg/tachka/images//6/7/f/67f7d3f137d4e6096c48ef32f0f2d113_240x180.jpg
296,Toyota Land Cruiser,"2012 г., 4.5 л., автомат, внедорожник 5 дв., дизель, руль слева, 185 000 км",$ 34 000,https://im.mashina.kg/tachka/images//4/0/5/405e9fdd7c1dc3369905aa45feb1431c_240x180.jpg
297,Toyota Camry,"2014 г., 2.5 л., автомат, седан, бензин, руль слева, 122 000 км",$ 15 500,https://im.mashina.kg/tachka/images//3/a/3/3a388c15d07673ee0b7bd94e25d8a8d8_240x180.jpg
298,Honda Fit,"2003 г., 1.3 л., вариатор, хэтчбек 5 дв., бензин, руль справа, 288 000 км",$ 6 884,https://im.mashina.kg/tachka/images//f/d/e/fdee5e5247b794a513491d9ef25f9884_240x180.jpg
299,BMW X5,"2016 г., 3 л., автомат, внедорожник 5 дв., дизель, руль слева, 199 999 км",$ 55 000,https://im.mashina.kg/tachka/images//a/4/2/a42fd004ae111e7c49f2f55d08763a31_240x180.jpg
300,Toyota Land Cruiser,"2008 г., 4.7 л., автомат, внедорожник 5 дв., бензин, руль слева, 250 000 км",$ 35 000,https://im.mashina.kg/tachka/images//3/2/b/32bd864080af55ce22dc7e91a50c3959_240x180.jpg
